title,type,genres,releaseYear,imdbId,imdbAverageRating,imdbNumVotes,availableCountries
"Lethal Weapon 2",movie,"Action, Crime, Thriller",1989,tt0097733,7.3,194859,
"Lethal Weapon 3",movie,"Action, Crime, Thriller",1992,tt0104714,6.7,183423,
"Lethal Weapon 4",movie,"Action, Crime, Thriller",1998,tt0122151,6.6,176286,
Heat,movie,"Action, Crime, Drama",1995,tt0113277,8.3,751013,
"Mission: Impossible",movie,"Action, Adventure, Thriller",1996,tt0117060,7.2,486272,
"Mission: Impossible III",movie,"Action, Adventure, Thriller",2006,tt0317919,6.9,402312,
"Dirty Harry",movie,"Action, Crime, Thriller",1971,tt0066999,7.7,174335,
"The Prestige",movie,"Drama, Mystery, Sci-Fi",2006,tt0482571,8.5,1506402,
"The Queen",movie,"Biography, Drama",2006,tt0436697,7.3,117538,
"The Talented Mr. Ripley",movie,"Crime, Drama, Thriller",1999,tt0134119,7.4,260199,
"Hannibal Rising",movie,"Adventure, Crime, Drama",2007,tt0367959,6.1,118847,
"Letters from Iwo Jima",movie,"Action, Adventure, Drama",2006,tt0498380,7.8,173340,
"The Host",movie,"Drama, Horror, Sci-Fi",2006,tt0468492,7.1,137889,
"Street Kings",movie,"Action, Crime, Thriller",2008,tt0421073,6.8,123502,
300,movie,"Action, Drama",2006,tt0416449,7.6,887922,
"The Dreamers",movie,"Drama, Romance",2003,tt0309987,7.1,137086,
"American Psycho",movie,"Crime, Drama, Horror",2000,tt0144084,7.6,773428,
"Sex and Lucía",movie,"Drama, Romance",2001,tt0254455,7,39687,
"Blood Diamond",movie,"Adventure, Drama, Thriller",2006,tt0450259,8,604898,
"Lights in the Dusk",movie,"Crime, Drama",2006,tt0458242,6.8,8414,
"Y tu mamá también",movie,Drama,2001,tt0245574,7.7,133885,
Nostalghia,movie,Drama,1983,tt0086022,7.9,31511,
"La Vie En Rose",movie,"Biography, Drama, Music",2007,tt0450188,7.5,92203,
"The Departed",movie,"Crime, Drama, Thriller",2006,tt0407887,8.5,1479995,
"The Virgin Suicides",movie,"Drama, Romance",1999,tt0159097,7.2,177937,
Immortality,movie,"Crime, Mystery, Romance",1998,tt0120894,6.2,6323,
"The Illusionist",movie,"Drama, Fantasy, Mystery",2006,tt0443543,7.5,396480,
"Miss Congeniality",movie,"Action, Comedy, Crime",2000,tt0212346,6.3,239172,
"The Last King of Scotland",movie,"Biography, Drama, History",2006,tt0455590,7.6,200571,
"Spy Game",movie,"Action, Crime, Thriller",2001,tt0266987,7.1,171983,
Collateral,movie,"Action, Crime, Drama",2004,tt0369339,7.5,447054,
"Office Space",movie,Comedy,1999,tt0151804,7.6,297952,
"Live Free or Die Hard",movie,"Action, Thriller",2007,tt0337978,7.1,428316,
"Die Hard with a Vengeance",movie,"Action, Adventure, Thriller",1995,tt0112864,7.6,419265,
"Die Hard 2",movie,"Action, Thriller",1990,tt0099423,7.1,395514,
Chicago,movie,"Comedy, Crime, Musical",2002,tt0299658,7.2,249543,
Apocalypto,movie,"Action, Adventure, Drama",2006,tt0472043,7.8,343505,
"What's Eating Gilbert Grape",movie,Drama,1993,tt0108550,7.7,261132,
"Bring It On",movie,"Comedy, Romance, Sport",2000,tt0204946,6.2,109673,
"The Island",movie,"Action, Sci-Fi, Thriller",2005,tt0399201,6.8,333713,
"Speed 2: Cruise Control",movie,"Action, Adventure, Crime",1997,tt0120179,4,88050,
Crash,movie,"Crime, Drama, Thriller",2004,tt0375679,7.7,454868,
"A Time to Kill",movie,"Crime, Drama, Thriller",1996,tt0117913,7.5,189254,
