title,type,genres,releaseYear,imdbId,imdbAverageRating,imdbNumVotes,availableCountries
"Kambakkht Ishq",movie,"Action, Comedy, Romance",2009,tt1144804,3.8,7742,
"The Party",movie,"Comedy, Romance",1968,tt0063415,7.4,45409,
"Sky Fighters",movie,"Action, Adventure, Drama",2005,tt0421974,5.7,4830,
"In & Out",movie,"Comedy, Romance",1997,tt0119360,6.4,45390,
"Children of the Corn",movie,"Horror, Thriller",1984,tt0087050,5.6,59870,
"Candyman: Farewell to the Flesh",movie,"Horror, Thriller",1995,tt0112625,5.3,15050,
"The Draughtsman's Contract",movie,"Comedy, Drama, Mystery",1982,tt0083851,7.2,11559,
Them,movie,"Horror, Thriller",2006,tt0465203,6.3,32997,
"Kings of the Road",movie,Drama,1976,tt0073152,7.6,6793,
Kehraus,movie,"Comedy, Romance",1983,tt0085781,7.1,729,
"Eye of the Needle",movie,"Romance, Thriller, War",1981,tt0082351,7.1,13304,
"The Accused",movie,"Crime, Drama",1988,tt0094608,7.1,41533,
Switchback,movie,"Crime, Mystery, Thriller",1997,tt0119210,6.4,15622,
Shutter,movie,"Horror, Mystery, Thriller",2008,tt0482599,5.2,38613,
"The Little Rascals",movie,"Comedy, Family, Romance",1994,tt0110366,6.3,58961,
"Seven Days Sunday",movie,Drama,2007,tt0484888,5.9,300,
"Pet Sematary II",movie,"Fantasy, Horror, Thriller",1992,tt0105128,4.9,24313,
"Moulin Rouge",movie,"Biography, Drama, Music",1952,tt0044926,7,6896,
"Agent Cody Banks",movie,"Action, Adventure, Comedy",2003,tt0313911,5.1,37989,
"The Return of the Living Dead",movie,"Comedy, Horror, Sci-Fi",1985,tt0089907,7.3,73108,
Willard,movie,"Drama, Horror, Thriller",2003,tt0310357,6.1,20920,
"Heaven's Gate",movie,"Adventure, Drama, Western",1980,tt0080855,6.7,18206,
"In the Cut",movie,"Mystery, Thriller",2003,tt0199626,5.4,27151,
"Oliver Twist",movie,Drama,1948,tt0040662,7.8,14287,
"Halloween: The Curse of Michael Myers",movie,"Horror, Thriller",1995,tt0113253,4.7,44156,
"Fatal Attraction",movie,"Drama, Thriller",1987,tt0093010,6.9,105322,
"The Birdcage",movie,Comedy,1996,tt0115685,7.2,107056,
"Blue Streak",movie,"Action, Comedy, Crime",1999,tt0181316,6.4,91244,
"Saturday Night Fever",movie,"Drama, Music",1977,tt0076666,6.8,90893,
Damage,movie,"Drama, Romance",1992,tt0104237,6.7,21408,
Secretary,movie,"Comedy, Drama, Romance",2002,tt0274812,6.9,103848,
"Billy Madison",movie,Comedy,1995,tt0112508,6.4,161622,
"Year of the Dragon",movie,"Action, Crime, Drama",1985,tt0090350,6.8,18746,
"Dressed to Kill",movie,"Crime, Drama, Mystery",1980,tt0080661,7.1,52263,
"The Great Gatsby",movie,"Drama, Romance",1974,tt0071577,6.4,27515,
"Little Big Man",movie,"Adventure, Drama, Western",1970,tt0065988,7.5,38923,
"Arizona Dream",movie,"Comedy, Drama, Fantasy",1993,tt0106307,7.2,46761,
"Terms of Endearment",movie,"Comedy, Drama",1983,tt0086425,7.4,67960,
Godsend,movie,"Action, Drama, Fantasy",2004,tt0335121,4.8,26911,
"Internal Affairs",movie,"Crime, Drama, Thriller",1990,tt0099850,6.5,23792,
Boomerang,movie,"Comedy, Drama, Romance",1992,tt0103859,5.6,32365,
Audition,movie,"Drama, Horror, Mystery",1999,tt0235198,7.1,94148,
"The Animal",movie,"Comedy, Sci-Fi",2001,tt0255798,4.8,65524,
